FWU00X00000080M89,2012,A01,40,False
FWU00X00000080M89,2011,A01,38,False
FWU00X00000080S15,2012,A01,20,False
FWU00X00000080S15,2011,A01,26,False
FWU00X00000080S12,2012,A01,218,False
FWU00X00000080S12,2011,A01,226,False
FWU00X00000080S13,2012,A01,101,False
FWU00X00000080S13,2011,A01,111,False
FWU00X00000080M93,2012,A01,70,False
FWU00X00000080M93,2011,A01,62,False
FWU00X00000080M73,2012,A01,80,False
FWU00X00000080M73,2011,A01,97,False
FWU00X00000080M72,2012,A01,22,False
FWU00X00000080M72,2011,A01,44,False
FWU00X00000080S10,2012,A01,14,False
FWU00X00000080S10,2011,A01,10,False
FWU00X00000080M70,2012,A01,42,False
FWU00X00000080M70,2011,A01,44,False
FWU00X00000080S11,2012,A01,11,False
FWU00X00000080S11,2011,A01,9,False
FWU00X00000080M76,2012,A01,56,False
FWU00X00000080M76,2011,A01,80,False
FWU00X00000080M78,2012,A01,61,False
FWU00X00000080M78,2011,A01,43,False
FWU00X00000080M79,2012,A01,90,False
FWU00X00000080M79,2011,A01,105,False
FWU00X00000080S08,2012,A01,82,False
FWU00X00000080S08,2011,A01,92,False
FWU00X00000080S06,2012,A01,375,False
FWU00X00000080S06,2011,A01,390,False
FWU00X00000080S05,2012,A01,63,False
FWU00X00000080S05,2011,A01,93,False
FWU00X00000080S04,2012,A01,60,False
FWU00X00000080S04,2011,A01,69,False
FWU00X00000080S02,2012,A01,31,False
FWU00X00000080S02,2011,A01,39,False
FWU00X00000080N00,2012,A01,4628,False
FWU00X00000080N00,2011,A01,4693,False
FWU00X00000080S01,2012,A01,84,False
FWU00X00000080S01,2011,A01,75,False
FWU00X00000080S09,2012,A01,36,False
FWU00X00000080S09,2011,A01,37,False
FWU00X00000080M80,2012,A01,95,False
FWU00X00000080M80,2011,A01,118,False
FWU00X00000080M81,2012,A01,66,False
FWU00X00000080M81,2011,A01,59,False
FWU00X00000080M84,2012,A01,77,False
FWU00X00000080M84,2011,A01,66,False
